cluster,material,material_binary,X_Coord,Y_Coord
5,pottery,non-soil,667067.8598,9238770.51
0,pottery,non-soil,667393.18,9238558.734
3,pottery,non-soil,667068.5121,9238764.793
3,pottery,non-soil,667173.9178,9237967.777
6,pottery,non-soil,667075.2651,9238771.766
4,pottery,non-soil,667089.2884,9238792.295
5,pottery,non-soil,667072.9524,9238772.997
5,pottery,non-soil,667063.6039,9238769.151
5,pottery,non-soil,667088.4631,9238783.881
5,pottery,non-soil,667069.4824,9238772.32
6,pottery,non-soil,667093.6166,9238793.053
5,pottery,non-soil,667072.1947,9238760.308
5,pottery,non-soil,667074.9307,9238770.481
-1,slag,non-soil,666957.9076,9239292.199
6,pottery,non-soil,667071.364,9238768.643
5,pottery,non-soil,667089.4892,9238791.91
2,pottery,non-soil,667090.9679,9238793.489
3,pottery,non-soil,667084.48,9238784.056
5,pottery,non-soil,667067.9425,9238771.449
-1,slag,non-soil,666938.1449,9239239.075
6,pottery,non-soil,667070.694,9238760.554
4,pottery,non-soil,667072.2142,9238772.02
7,soil,soil,666945.0537,9238701.568
6,pottery,non-soil,667071.7317,9238805.13
-1,pottery,non-soil,667134.0794,9238115.734
5,pottery,non-soil,667101.0515,9238702.622
6,pottery,non-soil,667067.4884,9238768.05
3,pottery,non-soil,667078.5228,9238862.466
6,pottery,non-soil,667068.4304,9238771.149
-1,slag,non-soil,666954.803,9239275.858
3,pottery,non-soil,667262.0665,9238289.673
4,pottery,non-soil,667067.5617,9238799.554
6,pottery,non-soil,667094.2654,9238794.537
7,metal,non-soil,667277.0456,9239153.317
5,pottery,non-soil,667072.577,9238773.181
6,pottery,non-soil,667074.0523,9238763.08
6,pottery,non-soil,667091.8059,9238788.041
5,pottery,non-soil,667063.9891,9238770.537
4,pottery,non-soil,667072.4654,9238768.969
5,pottery,non-soil,667065.8344,9238770.452
-1,slag,non-soil,666956.3912,9239288.924
6,pottery,non-soil,667064.3265,9238770.299
3,pottery,non-soil,667213.575,9238127.594
6,pottery,non-soil,667072.7671,9238769.614
5,pottery,non-soil,667072.3298,9238770.284
6,pottery,non-soil,667089.8656,9238794.854
7,soil,soil,667092.1469,9238878.865
-1,soil,soil,,
3,pottery,non-soil,667243.1546,9238437.269
3,pottery,non-soil,667090.3835,9238781.328
5,pottery,non-soil,667071.565,9238764.138
7,slag,non-soil,666915.5171,9239320.893
4,pottery,non-soil,667103.4469,9238705.12
5,pottery,non-soil,667073.8547,9238766.299
-1,slag,non-soil,666938.5525,9239293.125
6,pottery,non-soil,667068.9723,9238771.502
5,pottery,non-soil,667075.2459,9238771.051
-1,metal,non-soil,667256.1051,9239126.913
6,pottery,non-soil,667068.3553,9238773.323
5,pottery,non-soil,667091.1603,9238791.909
6,pottery,non-soil,667073.6583,9238769.281
6,pottery,non-soil,667090.9769,9238783.243
4,pottery,non-soil,667089.2113,9238791.473
-1,slag,non-soil,666951.8221,9239303.127
6,pottery,non-soil,667074.5815,9238767.778
4,pottery,non-soil,667096.4463,9238793.986
6,pottery,non-soil,667074.8194,9238770.18
4,pottery,non-soil,667088.8038,9238784.927
5,pottery,non-soil,667090.1979,9238788.121
5,pottery,non-soil,667075.0453,9238769.164
5,pottery,non-soil,667070.1423,9238804.794
3,pottery,non-soil,667070.297,9238798.636
3,pottery,non-soil,667104.5732,9238857.213
7,slag,non-soil,666919.0135,9239287.15
-1,soil,soil,667042.2295,9238777.962
4,pottery,non-soil,667068.4631,9238771.512
3,pottery,non-soil,667091.0594,9238859.557
4,pottery,non-soil,667095.24,9238789.853
-1,pottery,non-soil,667098.8903,9238859.534
4,pottery,non-soil,667066.3544,9238772.38
6,pottery,non-soil,667092.5056,9238788.294
6,pottery,non-soil,667073.4147,9238771.715
-1,soil,soil,,
5,pottery,non-soil,667090.3678,9238784.72
3,pottery,non-soil,667336.1677,9238577.489
6,pottery,non-soil,667095.3045,9238783.22
5,pottery,non-soil,667066.8163,9238768.573
6,pottery,non-soil,667073.1102,9238772.577
5,pottery,non-soil,667070.3912,9238767.575
5,pottery,non-soil,667095.0037,9238783.815
7,soil,soil,667095.8728,9238802.895
6,pottery,non-soil,667063.3565,9238771.691
5,pottery,non-soil,667074.1097,9238769.67
6,pottery,non-soil,667074.5819,9238771.306
5,pottery,non-soil,667090.5633,9238788.502
4,pottery,non-soil,667102.79,9238705.636
5,pottery,non-soil,667074.2375,9238770.605
5,pottery,non-soil,667071.6896,9238768.884
6,pottery,non-soil,667072.0003,9238807.941
3,pottery,non-soil,667108.0357,9238862.748
5,pottery,non-soil,667066.7518,9238768.053
4,pottery,non-soil,667072.3309,9238760.689
3,pottery,non-soil,667416.1731,9238711.229
3,pottery,non-soil,667029.2543,9238716.621
5,pottery,non-soil,667072.0083,9238772.142
3,pottery,non-soil,667056.386,9238792.418
6,pottery,non-soil,667068.6162,9238773.095
7,soil,soil,666944.0449,9238700.315
5,pottery,non-soil,667092.1532,9238795.306
6,pottery,non-soil,667066.3999,9238772.058
-1,soil,soil,,
0,pottery,non-soil,667063.9828,9238808.203
4,pottery,non-soil,667068.4876,9238773.494
5,pottery,non-soil,667071.2274,9238773.281
4,pottery,non-soil,667090.5074,9238792.174
-1,soil,soil,,
3,pottery,non-soil,667336.8075,9238554.876
-1,soil,soil,,
4,pottery,non-soil,667073.0673,9238768.275
4,pottery,non-soil,667073.5656,9238770.601
4,pottery,non-soil,667070.1144,9238799.982
6,pottery,non-soil,667068.207,9238803.436
5,pottery,non-soil,667089.7166,9238788.603
5,pottery,non-soil,667094.4076,9238787.642
-1,slag,non-soil,666928.2535,9239291.642
1,pottery,non-soil,667247.3928,9238434.037
3,pottery,non-soil,667073.6886,9238766.084
3,pottery,non-soil,667092.0163,9238914.661
5,pottery,non-soil,667094.3189,9238787.709
3,pottery,non-soil,667156.9877,9237721.498
6,pottery,non-soil,667093.4225,9238795.428
6,pottery,non-soil,667068.7421,9238798.655
4,pottery,non-soil,667068.3529,9238770.783
6,pottery,non-soil,667070.3797,9238760.357
6,pottery,non-soil,667093.0134,9238792.889
6,pottery,non-soil,667089.5999,9238784.165
5,pottery,non-soil,667091.7291,9238786.492
-1,pottery,non-soil,667053.0792,9238779.389
3,pottery,non-soil,667084.48,9238784.056
3,pottery,non-soil,667102.5869,9238858.649
6,pottery,non-soil,667065.4339,9238772.146
4,pottery,non-soil,667071.3285,9238801.157
3,pottery,non-soil,667029.2543,9238716.621
4,pottery,non-soil,667073.0617,9238771.574
5,pottery,non-soil,667070.833,9238760.939
4,pottery,non-soil,667062.9173,9238773.742
3,pottery,non-soil,667395.9629,9238543.026
4,pottery,non-soil,667090.754,9238786.97
3,pottery,non-soil,667110.3878,9238856.963
5,pottery,non-soil,667089.8465,9238787.819
4,pottery,non-soil,667072.5846,9238759.691
6,pottery,non-soil,667073.9981,9238770.431
6,pottery,non-soil,667074.3008,9238769.976
5,pottery,non-soil,667094.0251,9238794.294
6,pottery,non-soil,667093.9515,9238787.331
5,pottery,non-soil,667071.6128,9238771.347
6,pottery,non-soil,667068.9652,9238802.611
7,soil,soil,667096.1856,9238796.523
5,pottery,non-soil,667064.9452,9238771.536
-1,slag,non-soil,666925.4324,9239256.345
3,pottery,non-soil,667105.0477,9238880.392
7,soil,soil,667097.2038,9238799.083
-1,slag,non-soil,666951.2098,9239288.208
5,pottery,non-soil,667095.2185,9238788.306
5,pottery,non-soil,667090.4492,9238789.06
3,pottery,non-soil,666944.8903,9238700.795
6,pottery,non-soil,667066.9856,9238771.339
2,soil,soil,667072.7175,9238770.171
5,pottery,non-soil,667067.5426,9238805.454
-1,pottery,non-soil,667074.0579,9238768.756
3,pottery,non-soil,667156.6748,9238150.118
-1,slag,non-soil,666928.0519,9239293.434
3,pottery,non-soil,667093.6333,9238864.29
7,slag,non-soil,666932.5347,9239245.915
6,pottery,non-soil,667069.1661,9238798.63
6,pottery,non-soil,667071.1157,9238772.877
6,pottery,non-soil,667062.0874,9238769.759
4,pottery,non-soil,667070.8009,9238761.402
4,pottery,non-soil,667075.042,9238769.12
6,pottery,non-soil,667068.4001,9238772.331
5,pottery,non-soil,667070.2204,9238771.271
3,pottery,non-soil,667086.1841,9238868.92
5,pottery,non-soil,667072.4721,9238766.275
4,pottery,non-soil,667072.2523,9238771.95
4,pottery,non-soil,667066.1552,9238770.725
6,pottery,non-soil,667068.973,9238800.328
6,pottery,non-soil,667094.4839,9238788.728
3,pottery,non-soil,667026.9627,9238724.316
7,soil,soil,667092.1672,9238803.286
6,pottery,non-soil,667108.5437,9238701.639
-1,slag,non-soil,666927.5786,9239322.07
5,pottery,non-soil,667092.712,9238793.065
4,pottery,non-soil,667068.6523,9238768.794
6,pottery,non-soil,667070.7238,9238764.765
6,pottery,non-soil,667072.4409,9238763.711
1,pottery,non-soil,667128.4001,9237820.381
6,pottery,non-soil,667094.4554,9238785.721
6,pottery,non-soil,667067.9738,9238772.403
2,pottery,non-soil,667095.1838,9238794.215
3,pottery,non-soil,667091.7469,9238904.431
3,pottery,non-soil,667100.7281,9238913.961
-1,slag,non-soil,666936.6197,9239295.842
1,pottery,non-soil,667029.2543,9238716.621
5,pottery,non-soil,667091.1542,9238789.723
-1,metal,non-soil,667242.8795,9239112.771
6,pottery,non-soil,667064.2514,9238798.646
5,pottery,non-soil,667071.1184,9238772.985
6,pottery,non-soil,667095.7579,9238791.687
7,soil,soil,667093.6378,9238798.392
5,pottery,non-soil,667063.1927,9238772.234
6,pottery,non-soil,667072.0175,9238771.26
5,pottery,non-soil,667062.5891,9238772.338
-1,slag,non-soil,666958.0144,9239286.808
-1,soil,soil,,
-1,soil,soil,,
3,pottery,non-soil,667072.367,9238766.446
7,soil,soil,666945.6507,9238699.68
6,pottery,non-soil,667075.201,9238769.941
6,pottery,non-soil,667091.9079,9238792.028
4,pottery,non-soil,667072.8712,9238761.931
5,pottery,non-soil,667073.6738,9238769.195
4,pottery,non-soil,667071.9906,9238769.431
5,pottery,non-soil,667088.5879,9238786.811
6,pottery,non-soil,667074.7301,9238771.345
-1,pottery,non-soil,667096.7771,9238857.66
6,pottery,non-soil,667089.2469,9238787.076
1,pottery,non-soil,667177.2718,9237713.708
4,pottery,non-soil,667088.8429,9238790.103
6,pottery,non-soil,667094.6931,9238792.316
5,pottery,non-soil,667093.4063,9238789.79
-1,soil,soil,,
3,pottery,non-soil,667107.5855,9238855.325
5,pottery,non-soil,667093.6021,9238790.878
6,pottery,non-soil,667072.7948,9238772.151
5,pottery,non-soil,667062.9117,9238771.219
6,pottery,non-soil,667072.6872,9238767.558
1,pottery,non-soil,667304.8437,9238589.651
6,pottery,non-soil,667072.8209,9238772.515
5,pottery,non-soil,667074.5302,9238768.435
5,pottery,non-soil,667092.9773,9238792.567
6,pottery,non-soil,667092.3007,9238785.878
6,pottery,non-soil,667064.7758,9238771.639
4,pottery,non-soil,667094.3375,9238787.622
-1,slag,non-soil,666945.8588,9239280.662
-1,soil,soil,,
-1,pottery,non-soil,667090.6146,9238784.367
6,pottery,non-soil,667090.9526,9238793.534
6,pottery,non-soil,667092.1445,9238789.907
4,pottery,non-soil,667064.72,9238773.005
5,pottery,non-soil,667071.148,9238761.943
3,pottery,non-soil,667068.5121,9238764.793
3,pottery,non-soil,667101.2863,9238919.415
5,pottery,non-soil,667067.4566,9238772.669
4,pottery,non-soil,667108.1799,9238693.857
6,pottery,non-soil,667092.7432,9238788.316
5,pottery,non-soil,667089.7272,9238794.584
5,pottery,non-soil,667070.6316,9238764.218
5,pottery,non-soil,667093.7176,9238791.657
-1,slag,non-soil,666932.2771,9239280.004
6,pottery,non-soil,667092.0006,9238793.525
6,pottery,non-soil,667091.711,9238789.343
3,pottery,non-soil,667029.2543,9238716.621
-1,soil,soil,667072.7052,9238765.082
3,pottery,non-soil,667099.4288,9238913.641
4,pottery,non-soil,667065.7992,9238773.099
4,pottery,non-soil,667109.5769,9238698.333
5,pottery,non-soil,667069.9188,9238769.214
6,pottery,non-soil,667073.2682,9238767.3
7,soil,soil,667096.7956,9238801.779
3,pottery,non-soil,667064.2765,9238812.708
3,pottery,non-soil,667366.5547,9238550.165
-1,slag,non-soil,666935.1148,9239260.732
6,pottery,non-soil,667068.1705,9238801.958
7,slag,non-soil,666961.581,9239267.98
6,pottery,non-soil,667071.7151,9238759.428
6,pottery,non-soil,667043.5849,9238782.456
7,soil,soil,666944.8118,9238702.688
6,pottery,non-soil,667073.8729,9238770.021
6,pottery,non-soil,667092.6505,9238789.741
5,pottery,non-soil,667062.91,9238773.998
5,pottery,non-soil,667089.7083,9238792.156
-1,slag,non-soil,666927.4408,9239259.969
-1,pottery,non-soil,667072.6852,9238769.374
5,pottery,non-soil,667094.2232,9238794.74
3,pottery,non-soil,667219.6359,9238137.899
6,pottery,non-soil,667063.7218,9238768.702
6,pottery,non-soil,667073.6297,9238760.201
-1,slag,non-soil,666951.7109,9239289.087
4,pottery,non-soil,667092.3893,9238795.24
5,pottery,non-soil,667071.8433,9238769.519
3,pottery,non-soil,667113.7672,9238917.85
6,pottery,non-soil,667094.6147,9238787.984
3,pottery,non-soil,667195.4906,9237675.429
5,soil,soil,667045.1436,9238781.198
7,soil,soil,666947.5755,9238698.722
-1,slag,non-soil,666916.7249,9239259.566
-1,slag,non-soil,666923.1836,9239295.45
0,pottery,non-soil,667134.7614,9237727.172
3,pottery,non-soil,667167.9527,9238236.967
5,pottery,non-soil,667093.7838,9238790.834
-1,slag,non-soil,666949.6172,9239250.994
7,slag,non-soil,666927.656,9239252.754
6,pottery,non-soil,667090.9269,9238795.644
4,pottery,non-soil,667073.982,9238768.985
3,pottery,non-soil,667084.48,9238784.056
4,pottery,non-soil,667056.386,9238792.418
5,pottery,non-soil,667064.1645,9238768.041
5,pottery,non-soil,667065.9977,9238767.834
5,pottery,non-soil,667094.04,9238789.339
6,pottery,non-soil,667067.33,9238802.545
3,pottery,non-soil,667311.9142,9238430.236
-1,slag,non-soil,666949.8179,9239254.82
3,pottery,non-soil,667360.4531,9238644.535
7,slag,non-soil,666927.6451,9239259.254
-1,metal,non-soil,667286.025,9239105.675
-1,slag,non-soil,666920.0912,9239304.096
2,pottery,non-soil,667073.1419,9238761.358
-1,soil,soil,667096.1062,9238673.841
6,pottery,non-soil,667073.2906,9238765.186
3,pottery,non-soil,667118.1012,9238909.943
3,pottery,non-soil,667165.9362,9237734.374
7,soil,soil,667096.137,9238668.393
5,pottery,non-soil,667071.1408,9238770.247
5,pottery,non-soil,667063.2357,9238771.109
5,pottery,non-soil,667090.8468,9238787.301
6,pottery,non-soil,667073.0171,9238767.448
5,pottery,non-soil,667095.6052,9238784.435
6,pottery,non-soil,667089.9228,9238791.019
-1,soil,soil,667072.7811,9238771.452
-1,slag,non-soil,666944.6282,9239272.454
4,pottery,non-soil,667072.1945,9238759.669
5,pottery,non-soil,667071.5136,9238768.215
5,pottery,non-soil,667092.2724,9238794.23
5,pottery,non-soil,667069.2051,9238803.4
4,pottery,non-soil,667072.5049,9238761.728
3,pottery,non-soil,667026.9627,9238724.316
4,pottery,non-soil,667074.0115,9238768.827
4,pottery,non-soil,667071.3714,9238801.853
5,pottery,non-soil,667095.6614,9238793.674
4,pottery,non-soil,667092.1485,9238794.54
6,pottery,non-soil,667089.8908,9238783.459
6,pottery,non-soil,667073.6551,9238761.454
5,pottery,non-soil,667091.1471,9238787.084
6,pottery,non-soil,667063.7954,9238773.899
6,pottery,non-soil,667073.2799,9238770.388
5,pottery,non-soil,667074.5275,9238771.351
4,pottery,non-soil,667073.3241,9238768.231
-1,soil,soil,,
4,pottery,non-soil,667056.386,9238792.418
6,pottery,non-soil,667069.7696,9238806.7
5,pottery,non-soil,667071.2876,9238767.478
5,pottery,non-soil,667105.2888,9238699.473
4,pottery,non-soil,667090.5148,9238787.025
3,pottery,non-soil,667104.3221,9238881.626
3,pottery,non-soil,667085.4236,9238882.528
6,pottery,non-soil,667095.7731,9238794.678
6,pottery,non-soil,667074.1349,9238771.466
5,pottery,non-soil,667101.5727,9238690.951
4,pottery,non-soil,667093.3623,9238794.737
4,pottery,non-soil,667092.2521,9238792.835
0,pottery,non-soil,667084.6908,9238892.041
-1,soil,soil,,
6,pottery,non-soil,667065.764,9238770.976
6,pottery,non-soil,667094.3274,9238783.442
-1,soil,soil,667062.2482,9238769.308
5,pottery,non-soil,667066.5803,9238772.554
-1,slag,non-soil,666936.4567,9239236.517
4,pottery,non-soil,667073.757,9238771.34
3,pottery,non-soil,667305.4605,9238327.053
4,pottery,non-soil,667074.5422,9238772.249
3,pottery,non-soil,667092.8317,9238867.042
3,pottery,non-soil,667063.121,9238810.578
5,pottery,non-soil,667093.4973,9238795.263
-1,slag,non-soil,666945.5134,9239304.7
4,pottery,non-soil,667088.7161,9238783.433
6,pottery,non-soil,667066.1666,9238769.171
5,pottery,non-soil,667070.3568,9238773.186
-1,pottery,non-soil,667084.48,9238784.056
5,pottery,non-soil,667072.5857,9238763.099
4,pottery,non-soil,667092.935,9238790.063
6,pottery,non-soil,667070.6352,9238770.442
5,pottery,non-soil,667094.5431,9238782.777
5,pottery,non-soil,667064.7454,9238772.116
4,pottery,non-soil,667071.7373,9238770.108
5,pottery,non-soil,667073.5319,9238769.514
1,pottery,non-soil,667029.2543,9238716.621
3,pottery,non-soil,667160.7747,9237762.298
5,pottery,non-soil,667071.4076,9238768.553
4,pottery,non-soil,667093.9299,9238783.125
3,pottery,non-soil,667107.9241,9238855.511
3,pottery,non-soil,667145.3661,9237935.067
4,pottery,non-soil,667092.539,9238784.939
4,pottery,non-soil,667072.4373,9238764.415
5,pottery,non-soil,667095.3452,9238786.4
3,pottery,non-soil,667125.5916,9238919.132
-1,slag,non-soil,666941.0486,9239240.131
3,pottery,non-soil,667133.9182,9237878.985
5,pottery,non-soil,667095.9239,9238785.226
6,pottery,non-soil,667073.7838,9238764.229
6,pottery,non-soil,667070.8883,9238761.67
3,pottery,non-soil,667056.386,9238792.418
-1,slag,non-soil,666949.5482,9239279.245
-1,slag,non-soil,666968.1784,9239279.84
5,pottery,non-soil,667092.4094,9238787.011
-1,slag,non-soil,666917.2367,9239296.904
3,pottery,non-soil,667131.982,9238105.603
4,pottery,non-soil,667073.563,9238770.592
6,pottery,non-soil,667089.5141,9238793.784
6,pottery,non-soil,667072.2574,9238761.73
3,pottery,non-soil,667112.093,9238918.394
3,pottery,non-soil,667088.2382,9238861.47
4,pottery,non-soil,667070.4019,9238770.349
6,pottery,non-soil,667095.3363,9238788.929
3,pottery,non-soil,667164.2366,9237716.383
4,pottery,non-soil,667071.3887,9238773.362
3,pottery,non-soil,667084.48,9238784.056
6,pottery,non-soil,667092.5035,9238793.733
5,pottery,non-soil,667089.1588,9238783.426
5,pottery,non-soil,667091.2827,9238786.52
3,pottery,non-soil,667107.6479,9238864.413
6,pottery,non-soil,667071.2558,9238766.971
4,pottery,non-soil,667066.78,9238768.281
-1,slag,non-soil,666918.457,9239251.934
5,pottery,non-soil,667092.5766,9238791.354
3,pottery,non-soil,667287.4073,9238508.824
-1,slag,non-soil,666918.4695,9239305.558
0,pottery,non-soil,667176.4565,9237885.574
6,pottery,non-soil,667071.532,9238804.798
6,pottery,non-soil,667065.7375,9238767.869
-1,slag,non-soil,666922.6781,9239317.119
5,pottery,non-soil,667088.0112,9238783.812
-1,slag,non-soil,666918.8315,9239281.013
5,pottery,non-soil,667089.7539,9238793.81
6,pottery,non-soil,667073.1099,9238760.749
6,pottery,non-soil,667096.0916,9238784.385
3,pottery,non-soil,667203.422,9238179.919
5,pottery,non-soil,667072.5764,9238772.498
-1,pottery,non-soil,667072.8274,9238760.308
3,pottery,non-soil,667096.419,9238864.272
0,pottery,non-soil,667098.1529,9238913.434
0,pottery,non-soil,667084.4395,9238864.357
4,pottery,non-soil,667071.3173,9238771.004
-1,slag,non-soil,666966.774,9239322.278
6,pottery,non-soil,667063.9739,9238769.075
5,pottery,non-soil,667073.3136,9238765.413
5,pottery,non-soil,667092.6326,9238783.871
4,pottery,non-soil,667064.7241,9238769.921
6,pottery,non-soil,667096.0526,9238795.045
3,pottery,non-soil,667090.9451,9238865.86
4,pottery,non-soil,667092.3311,9238782.923
4,pottery,non-soil,667054.7717,9238780.922
-1,pottery,non-soil,667064.2315,9238770.124
4,pottery,non-soil,667063.5199,9238768.576
7,slag,non-soil,666938.1003,9239244.207
3,pottery,non-soil,667219.7377,9238208.076
6,pottery,non-soil,667069.9747,9238768.001
6,pottery,non-soil,667072.706,9238765.941
4,pottery,non-soil,667089.4999,9238786.85
5,pottery,non-soil,667070.7863,9238769.015
5,pottery,non-soil,667074.0131,9238772.442
6,pottery,non-soil,667072.3361,9238770.444
-1,slag,non-soil,666940.4809,9239313.29
4,pottery,non-soil,667072.3773,9238761.274
-1,soil,soil,,
4,pottery,non-soil,667092.0849,9238787.974
3,pottery,non-soil,667056.386,9238792.418
6,pottery,non-soil,667070.1855,9238798.555
6,pottery,non-soil,667094.9842,9238783.591
5,pottery,non-soil,667071.1668,9238760.246
5,pottery,non-soil,667074.2322,9238766.914
-1,slag,non-soil,666967.175,9239299.228
6,pottery,non-soil,667070.424,9238768.813
6,pottery,non-soil,667072.3209,9238766.811
6,pottery,non-soil,667073.3772,9238768.48
3,pottery,non-soil,667029.2543,9238716.621
5,pottery,non-soil,667071.8192,9238799.767
3,pottery,non-soil,667056.386,9238792.418
-1,pottery,non-soil,667105.8062,9238696.836
3,pottery,non-soil,667084.48,9238784.056
